APMC,Commodity,Year,Count
aamgaon,paddyunhusked,2014,4
aamgaon,paddyunhusked,2015,12
aamgaon,paddyunhusked,2016,11
aarni,black gram,2015,1
aarni,black gram,2016,2
aarni,gram,2014,2
aarni,gram,2015,6
aarni,gram,2016,5
aarni,green gram,2015,2
aarni,green gram,2016,1
aarni,ground nut pods dry,2014,2
aarni,ground nut pods dry,2015,2
aarni,ground nut pods dry,2016,5
aarni,pigeon pea tur,2014,2
aarni,pigeon pea tur,2015,9
aarni,pigeon pea tur,2016,10
aarni,sorgumjawar,2015,4
aarni,soybean,2014,4
aarni,soybean,2015,11
aarni,soybean,2016,8
aarni,wheathusked,2014,2
aarni,wheathusked,2015,5
aarni,wheathusked,2016,1
achalpur,bajri,2014,1
achalpur,bajri,2015,1
achalpur,bajri,2016,3
achalpur,batbati,2014,1
achalpur,batbati,2016,1
achalpur,black gram,2014,3
achalpur,black gram,2015,3
achalpur,black gram,2016,6
achalpur,castor seed,2015,1
achalpur,gram,2014,4
achalpur,gram,2015,10
achalpur,gram,2016,10
achalpur,green gram,2014,2
achalpur,green gram,2015,5
achalpur,green gram,2016,3
achalpur,ground nut pods dry,2015,2
achalpur,ground nut pods dry,2016,2
achalpur,lentil,2014,1
achalpur,lentil,2015,4
achalpur,lentil,2016,5
achalpur,maize,2014,4
achalpur,maize,2015,5
achalpur,maize,2016,10
achalpur,mustard,2015,3
achalpur,mustard,2016,4
achalpur,pigeon pea tur,2014,4
achalpur,pigeon pea tur,2015,10
achalpur,pigeon pea tur,2016,10
achalpur,rajgira,2015,2
achalpur,ricepaddyhus,2014,1
achalpur,sesamum,2014,4
achalpur,sesamum,2015,2
achalpur,sesamum,2016,3
achalpur,sorgumjawar,2014,3
achalpur,sorgumjawar,2015,2
achalpur,sorgumjawar,2016,10
achalpur,soybean,2014,4
achalpur,soybean,2015,10
achalpur,soybean,2016,10
achalpur,sunflower,2014,1
achalpur,tamarind seed,2016,1
achalpur,wheathusked,2014,4
achalpur,wheathusked,2015,10
achalpur,wheathusked,2016,10
aheri,batbati,2014,3
aheri,batbati,2015,8
aheri,batbati,2016,11
aheri,black gram,2014,1
aheri,cotton,2014,2
